property_type,district,price_vnd,area_clean,price_per_m2_clean,bedrooms,bathrooms,floors,frontage,acces_road,legal_status,furniture_state,seller_type
"Artisan Park Gamuda Land trực tiếp CĐT. TT 10% ký HĐMB, góp 5 năm 0% LS. Liên hệ căn đẹp inbox em",Bình Dương,7900000000.0,100.0,79000000.0,0.0,0.0,0.0,0.0,0.0,Hợp đồng mua bán,Không rõ,Phan Minh Sự
"Chính chủ cần bán nhà đẹp 4 tầng Phạm Đăng Giảng Bình Tân, 87,4m2, hẻm 6m, kdc an ninh, chỉ 8,6 tỷ",Bình Hưng Hòa,8600000000.0,87.4,98398169.34,0.0,0.0,4.0,0.0,6.0,Không rõ,Không rõ,Giang Truong
Bạn có nhu cầu? Đừng bỏ lỡ tôi! Giỏ hàng căn hộ Eco Green Saigon rẻ nhất thị trường q7,Tân Thuận,5800000000.0,65.0,89230769.23,2.0,2.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,5stars Plus
Giỏ hàng độc quyền The River (1PN - 11.5tỷ) (2PN - 16.5tỷ) (3PN - 28tỷ) (4PN - 50tỷ) - Đã có sổ,An Khánh,16500000000.0,94.0,175531914.89,2.0,2.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Sơn Nguyễn
"Chỉ từ 2.1 tỷ có ngay căn hộ sát Phú Mỹ Hưng Quận 7, ngay ga Tân Mỹ, chỉ 15% ký Hđ",Tân Mỹ,2100000000.0,35.0,60000000.0,1.0,1.0,0.0,0.0,0.0,Sổ đỏ/ Sổ hồng,Cơ bản,Trần Quốc Cường
The Emerald Boulevard căn 2PN đầy đủ nội thất - vừa túi tiền - sổ hồng lâu dài,Bình Hòa,4880000000.0,75.0,65066666.67,2.0,2.0,0.0,0.0,0.0,Không rõ,Đầy đủ,Huỳnh Vân Trúc
Giỏ hàng nội bộ căn hộ 1PN 2PN 3PN 4PN The Global City view đẹp CK cao trực tiếp CĐT MasteriseHomes,Bình Trưng,6900000000.0,53.0,130188679.25,1.0,1.0,0.0,0.0,0.0,Hợp đồng mua bán,Đầy đủ,Nguyễn  Ngọc Huy
"Chủ nhà bán lỗ căn hộ góc 3PN Vinhomes Grand Park Chỉ 3,2 tỷ",Long Bình,3200000000.0,95.0,33684210.53,3.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Vinhomes Grand Park
Vlasta Premier Q.7 mở bán tháng 6 chỉ 8x triệu/m2 (VAT) - vốn chỉ 20% đến khi nhận nhà - CK 13%,Phú Thuận,8150000000.0,101.0,80693069.31,2.0,2.0,0.0,0.0,0.0,Hợp đồng mua bán,Không rõ,Đạt Nguyễn
"Bán nhanh vài căn suất nội bộ đợt 1 rẻ đẹp nhất The Global City, view trực diện sân khấu nhạc nước",Bình Trưng,8500000000.0,78.0,108974358.97,2.0,0.0,0.0,0.0,0.0,Không rõ,Không rõ,Lê Phương Đông
