price_vnd,area_clean,price_per_m2_clean,district,property_type,cluster_kmeans,cluster_tier,dbscan_label,price_per_m2_safe,price_tier_enc,district_enc,log_area,property_type_enc,legal_status_enc,seller_type_enc,bedroom_per_area,bedrooms,frontage
6900000000.0,100.0,69000000.0,Thông Tây Hội,"Diện tích khủng 100m2 đất ngang 6,5m có 5 phòng ngủ rộng hơn 6tỷ x...Đường Quang Trung P8 Gò Vấp",1,Cao cấp,0,68316831.68316832,1,125,4.61512051684126,6640,54,1266,0.04950495049504951,5.0,6.5
13000000000.0,100.0,130000000.0,Thạnh Mỹ Tây,"Nắm 98% giỏ hàng bán Vinhomes Central Park giá hợp lý 1PN=6 tỷ; 2PN=8,3 tỷ; 3PN= 13tỷ; 4PN=18,5 tỷ",3,Luxury,0,128712871.28712872,2,126,4.61512051684126,8452,54,156,0.0297029702970297,3.0,0.0
14500000000.0,111.0,130630630.63,Thạnh Mỹ Tây,"Bán căn hộ 2PN, 2WC tại Vinhomes Central Park, 14,5 tỷ, 111 m2, đẹp, nhiều tiện ích",3,Luxury,0,129464285.71428572,2,126,4.718498871295094,1391,54,388,0.017857142857142856,2.0,0.0
14000000000.0,115.0,121739130.43,Thạnh Mỹ Tây,"Bán gấp căn hộ 3PN Vinhomes Central Park 115m2, full nội thất, giá chỉ 14 tỷ",3,Luxury,0,120689655.1724138,2,126,4.7535901911063645,3247,54,1296,0.02586206896551724,3.0,0.0
2670000000.0,55.0,48545454.55,Lái Thiêu,"Bcons Newsky ""Chơi lớn"": Tặng vàng 9999, trúng xế xịn - bạn đã sẵn sàng?",2,Bình dân,0,47678571.428571425,3,76,4.02535169073515,313,17,859,0.03571428571428571,2.0,0.0
2700000000.0,70.0,38571428.57,Long Bình,"Cắt lỗ 30%, căn 2PN diện tích 60m2 - 70m2, thanh toán giãn 2 năm",2,Bình dân,0,38028169.01408451,3,69,4.2626798770413155,6564,62,1551,0.028169014084507043,2.0,0.0
2800000000.0,45.0,62222222.22,Bình Hòa,3 suất ngoại giao trực tiếp CĐT-CK cao nhất! 1PN + 2.8tỷ - 2PN 3.9tỷ - 3PN 5.3tỷ full nội thất!,1,Cao cấp,0,60869565.217391305,1,20,3.828641396489095,118,21,386,0.043478260869565216,2.0,0.0
28500000000.0,192.0,148437500.0,Tân Sơn,"Giảm sốc 1 tỷ giá mới chỉ 28,5 tỷ TL. CHDV 37 phòng cho thuê thu nhập khủng 210tr/1 tháng",3,Luxury,0,147668393.7823834,2,143,5.262690188904886,7042,54,338,0.19170984455958548,37.0,0.0
7800000000.0,75.0,104000000.0,Bình Trưng,Mở bán phân khu CT3 căn hộ Masteri Cosmo Central ngay kênh đào view Landmark 81. LH:0975 467 ***,1,Cao cấp,0,102631578.94736843,2,31,4.330733340286331,7963,17,358,0.02631578947368421,2.0,0.0
3800000000.0,50.0,76000000.0,Phú Thuận,Căn hộ cao cấp vị nhân sinh Vlasta Premier - view sông SG- CK đến 13% -Ký HĐMB ngay -LH:0906 836 ***,1,Cao cấp,0,74509803.92156863,1,88,3.9318256327243257,5888,21,511,0.0196078431372549,1.0,0.0
3000000000.0,59.0,50847457.63,Long Bình,Căn hộ 2PN 59m2 view Vườn Nhật giá tốt 3tỷ TT giãn 480 ngay giá tốt nhất thị trường LH0908 494 ***,2,Bình dân,0,50000000.0,1,69,4.0943445622221,5654,17,1509,0.03333333333333333,2.0,0.0
13600000000.0,95.0,143157894.74,Bình Dương,"Artisan Park căn mặt tiền Phạm Văn Đồng, có cam kết thuê 16%/4 năm",3,Luxury,0,141666666.66666666,2,19,4.564348191467836,234,17,1190,0.0,0.0,0.0
7900000000.0,100.0,79000000.0,Bình Dương,"Artisan Park Gamuda Land trực tiếp CĐT. TT 10% ký HĐMB, góp 5 năm 0% LS. Liên hệ căn đẹp inbox em",1,Cao cấp,0,78217821.78217822,1,19,4.61512051684126,233,17,1094,0.0,0.0,0.0
8600000000.0,87.4,98398169.34,Bình Hưng Hòa,"Chính chủ cần bán nhà đẹp 4 tầng Phạm Đăng Giảng Bình Tân, 87,4m2, hẻm 6m, kdc an ninh, chỉ 8,6 tỷ",1,Cao cấp,0,97285067.87330316,2,22,4.481871969643598,4995,21,201,0.0,0.0,0.0
5800000000.0,65.0,89230769.23,Tân Thuận,Bạn có nhu cầu? Đừng bỏ lỡ tôi! Giỏ hàng căn hộ Eco Green Saigon rẻ nhất thị trường q7,1,Cao cấp,0,87878787.87878788,2,147,4.189654742026425,4398,54,0,0.030303030303030304,2.0,0.0
16500000000.0,94.0,175531914.89,An Khánh,Giỏ hàng độc quyền The River (1PN - 11.5tỷ) (2PN - 16.5tỷ) (3PN - 28tỷ) (4PN - 50tỷ) - Đã có sổ,3,Luxury,0,173684210.52631578,2,4,4.553876891600541,7129,54,1242,0.021052631578947368,2.0,0.0
2100000000.0,35.0,60000000.0,Tân Mỹ,"Chỉ từ 2.1 tỷ có ngay căn hộ sát Phú Mỹ Hưng Quận 7, ngay ga Tân Mỹ, chỉ 15% ký Hđ",1,Cao cấp,0,58333333.333333336,1,139,3.58351893845611,5214,54,1436,0.027777777777777776,1.0,0.0
4880000000.0,75.0,65066666.67,Bình Hòa,The Emerald Boulevard căn 2PN đầy đủ nội thất - vừa túi tiền - sổ hồng lâu dài,1,Cao cấp,0,64210526.315789476,1,20,4.330733340286331,9097,21,319,0.02631578947368421,2.0,0.0
6900000000.0,53.0,130188679.25,Bình Trưng,Giỏ hàng nội bộ căn hộ 1PN 2PN 3PN 4PN The Global City view đẹp CK cao trực tiếp CĐT MasteriseHomes,3,Luxury,0,127777777.77777778,2,31,3.9889840465642745,7116,17,719,0.018518518518518517,1.0,0.0
3200000000.0,95.0,33684210.53,Long Bình,"Chủ nhà bán lỗ căn hộ góc 3PN Vinhomes Grand Park Chỉ 3,2 tỷ",2,Bình dân,0,33333333.333333332,3,69,4.564348191467836,5342,21,1551,0.03125,3.0,0.0
8150000000.0,101.0,80693069.31,Phú Thuận,Vlasta Premier Q.7 mở bán tháng 6 chỉ 8x triệu/m2 (VAT) - vốn chỉ 20% đến khi nhận nhà - CK 13%,1,Cao cấp,0,79901960.78431372,1,88,4.624972813284271,9358,17,1709,0.0196078431372549,2.0,0.0
8500000000.0,78.0,108974358.97,Bình Trưng,"Bán nhanh vài căn suất nội bộ đợt 1 rẻ đẹp nhất The Global City, view trực diện sân khấu nhạc nước",1,Cao cấp,0,107594936.70886075,2,31,4.3694478524670215,3765,21,502,0.02531645569620253,2.0,0.0
5320000000.0,79.0,67341772.15,Rạch Dừa,Căn góc 2PN tại Beacon Tower tầng thấp giá tốt,1,Cao cấp,0,66500000.0,1,117,4.382026634673881,5619,17,399,0.025,2.0,0.0
4000000000.0,82.0,48780487.8,Long Bình,Chủ nhà tặng lại 25% cho khách thiện chí mua căn hộ 3PN diện tích 81m2 Beverly Solari giá 4 tỷ,2,Bình dân,0,48192771.084337346,3,69,4.418840607796598,5366,17,526,0.03614457831325301,3.0,0.0
5250000000.0,70.0,75000000.0,Tân Mỹ,Hiếm! Giỏ hàng độc quyền cđt mở bán bàn giao hoàn thiện chỉ 15% ký HĐMB!,1,Cao cấp,0,73943661.97183098,1,139,4.2626798770413155,7291,17,529,0.028169014084507043,2.0,0.0
